Emotion,Video_ID,Gender,energy_trend,f0_trend,energy_dynamism,f0_dynamism,energy_burst_count,energy_burst_rate,energy_mean_burst_magnitude,energy_max_burst_magnitude,energy_burst_coverage,energy_first_burst_position,energy_peak_count,energy_peak_rate,energy_mean_peak_prominence,energy_max_peak_prominence,energy_peak_position_mean,energy_peak_position_std,energy_peak_width_mean,mean_attack_rate,mean_decay_rate,attack_decay_ratio,envelope_modulation,attack_count,decay_count
joy,dia2_utt2_enhanced.wav,male,-0.0780778122796694,0.0,0.05008856351083761,0.0,4,0.021739130434782608,2.2071738243103027,2.7484397888183594,0.11413043478260869,0.28804347826086957,5,0.02717391304347826,0.5659337371122092,0.9999186276691034,0.4141304347826087,0.17891581697887246,0.0,0.10134367800571703,0.06733572539525834,1.5050506608614254,0.06823407,4,6
joy,dia2_utt10_enhanced.wav,male,0.3565409383712891,0.0,0.07870076643286912,0.0,2,0.024390243902439025,2.0588698387145996,2.083885669708252,0.13414634146341464,0.5121951219512195,4,0.04878048780487805,0.5804116656036058,0.9998598415259039,0.6067073170731707,0.16164287977818978,0.0,0.09759874854769027,0.04872899502515793,2.002888598406385,0.103834696,4,2
joy,dia2_utt12_enhanced.wav,male,0.006085309145064103,-0.22903199261695723,0.05826575258726464,0.09964490525738262,1,0.00819672131147541,1.794373631477356,1.794373631477356,0.02459016393442623,0.7377049180327869,6,0.04918032786885246,0.3830387331545353,0.8926040008664131,0.6898907103825137,0.29050860432403713,0.0,0.046739122413453606,0.05179179122760182,0.9024426710413627,0.071476236,7,8
joy,dia4_utt1_enhanced.wav,female,-0.04162065678953989,-0.8,0.18727881601081972,0.3581730176127763,0,0.0,0.0,0.0,0.0,0.0,1,0.07692307692307693,0.7704787105321884,0.7704787105321884,0.46153846153846156,0.0,0.0,0.05800214835575649,0.0,0.0,0.21374144,2,0
joy,dia4_utt8_enhanced.wav,female,0.08788262653876075,-0.37950716873878626,0.050433021843315926,0.04996396526066853,6,0.007434944237918215,2.0978081226348877,2.556380033493042,0.06815365551425032,0.07187112763320942,41,0.05080545229244114,0.3885218019814801,0.986242045648396,0.513252939220842,0.2830363448923257,0.0,0.04115148912321262,0.048237795560600885,0.853096387282338,0.0619541,38,40
joy,dia4_utt9_enhanced.wav,male,0.16748490774696512,-0.691309685285444,0.06886271884624022,0.11484066508120185,1,0.0072992700729927005,2.0388360023498535,2.0388360023498535,0.029197080291970802,0.08029197080291971,6,0.043795620437956206,0.48781829472864047,0.9669311493635178,0.5121654501216545,0.23064679620866735,0.0,0.06360076712887912,0.04521764649216794,1.406547488929909,0.08200557,8,11
joy,dia4_utt10_enhanced.wav,female,-0.32927673327749657,0.9668377462585702,0.035096958553895025,0.17571555571993167,1,0.006493506493506494,3.167484998703003,3.167484998703003,0.05194805194805195,0.33116883116883117,3,0.01948051948051948,0.5662494269975772,0.997512744506821,0.21428571428571427,0.10955888082115812,0.0,0.03437282965782492,0.049011456658658775,0.7013223438188166,0.049678434,2,2
joy,dia6_utt0_enhanced.wav,male,-0.06290030210988476,0.0,0.0628730516049886,0.0,5,0.015479876160990712,1.8787667751312256,2.3616654872894287,0.05263157894736842,0.3622291021671827,18,0.05572755417956656,0.4282288522679462,0.9982524962397292,0.4977640178878569,0.24377199389519028,0.0,0.059132789400909574,0.06167964224617542,0.9587083719600568,0.07923115,19,16
joy,dia6_utt2_enhanced.wav,male,-0.5725463631348391,0.0,0.05400956563297826,0.0,1,0.005917159763313609,2.0551185607910156,2.0551185607910156,0.03550295857988166,0.023668639053254437,8,0.047337278106508875,0.3937060695643595,0.8920896574854851,0.4038461538461538,0.22626367089261043,0.0,0.0359893284451503,0.044281674021121736,0.8127364026026634,0.06651863,11,9
joy,dia6_utt6_enhanced.wav,male,-0.11264516386586353,0.34762157877316235,0.0663122549696257,0.08744280924451783,9,0.022167487684729065,2.0139667987823486,2.6881537437438965,0.08866995073891626,0.11822660098522167,20,0.04926108374384237,0.49262946926728546,0.9999812990372448,0.45948275862068966,0.1863906796931477,0.0,0.08345383535586783,0.058444297994548235,1.4279209130658481,0.0852089,20,21
joy,dia8_utt4_enhanced.wav,male,-0.26967707310235756,-0.10924860141293435,0.037969136166266806,0.13780667601651247,2,0.007042253521126761,3.004060745239258,3.636336326599121,0.0528169014084507,0.13380281690140844,8,0.028169014084507043,0.38361441487722914,0.9992122840485536,0.3389084507042254,0.17193007922534106,0.0,0.05771608929194155,0.04885145634136818,1.1814609760787553,0.05210574,8,6
joy,dia8_utt6_enhanced.wav,male,-1.0689297325938631,-0.6635653219474084,0.10333958295103243,0.39126013637817214,0,0.0,0.0,0.0,0.0,0.0,1,0.07692307692307693,0.24821007251739502,0.24821007251739502,0.07692307692307693,0.0,0.0,0.12410503625869751,0.08969274976036766,1.383668541663281,0.11746842,1,1
joy,dia9_utt3_enhanced.wav,male,-0.3926732481176061,-0.4444796664097675,0.05761908766998512,0.10817744406665913,8,0.018912529550827423,1.8834288120269775,2.2842745780944824,0.08983451536643026,0.061465721040189124,18,0.0425531914893617,0.5010503178107482,0.9995465890679043,0.3684003152088258,0.26377236223221123,0.0,0.07497715181427995,0.055922205136002,1.3407402592930053,0.0742495,17,13
joy,dia9_utt9_enhanced.wav,male,-0.05679206888715841,-0.7161155432437432,0.05179874626038712,0.09113096387608216,3,0.013513513513513514,2.418303966522217,2.9250240325927734,0.06306306306306306,0.07207207207207207,8,0.036036036036036036,0.470224085252994,0.9998113530746195,0.45608108108108103,0.3085729430460471,0.0,0.06981736442872456,0.0599501771021844,1.164589794450843,0.06985926,7,11
joy,dia11_utt3_enhanced.wav,male,-0.07910279085726842,-0.3064547056755434,0.07571280874248891,0.12606665338529432,6,0.02112676056338028,1.9090443849563599,2.209937572479248,0.08098591549295775,0.11971830985915492,17,0.05985915492957746,0.49309998673304695,0.9931555981747806,0.5171913835956917,0.2670405732269325,0.0,0.0844669311906078,0.06280479427387053,1.344912154672078,0.09450727,16,16
joy,dia11_utt6_enhanced.wav,male,-0.07642307454800479,-0.09313488949268589,0.07032392159492096,0.12401216993031522,3,0.015228426395939087,1.7547599077224731,1.9581013917922974,0.07106598984771574,0.4213197969543147,11,0.05583756345177665,0.4664540521890475,0.9698778390884399,0.47669589293954784,0.2599483554311285,0.0,0.06196809069268288,0.058977934040806514,1.0506995828271553,0.08994679,12,11
joy,dia11_utt7_enhanced.wav,male,-0.4096618572481499,0.014045338026475932,0.039963726593127046,0.1421248726533997,2,0.011560693641618497,1.7695255279541016,1.8261488676071167,0.19653179190751446,0.16184971098265896,5,0.028901734104046242,0.432327196537517,0.9995580969844013,0.37109826589595374,0.22474773410968338,0.0,0.041587787324732,0.05679798436661561,0.7322053377157558,0.054740697,3,4
joy,dia11_utt8_enhanced.wav,female,-0.3852180660610811,-0.20462853118975718,0.04984402811755795,0.14919652357984198,4,0.02247191011235955,2.258408546447754,2.8332631587982178,0.11797752808988764,0.0056179775280898875,6,0.033707865168539325,0.42890666658543825,0.9998569721647073,0.25374531835205993,0.1584832910031595,0.0,0.0710768048063157,0.06701318989096045,1.0606390312409737,0.067593314,5,7
joy,dia11_utt9_enhanced.wav,female,0.10658151620315756,0.14988931944739725,0.02791070471953734,0.06914257338847288,5,0.007429420505200594,2.9140219688415527,3.7906644344329834,0.09063893016344725,0.3640416047548291,10,0.014858841010401188,0.4821269848238444,0.9996133627428208,0.6533432392273404,0.21851596693128922,0.0,0.054635348309555416,0.05472016616301103,0.9984499708351956,0.041083787,8,10
joy,dia12_utt1_enhanced.wav,male,0.12363311377302287,-0.3740894752967477,0.05573672428772913,0.07216954345840132,13,0.014606741573033709,2.0274362564086914,2.495180606842041,0.06853932584269663,0.0696629213483146,40,0.0449438202247191,0.4486569471429789,0.9999928031097625,0.5586516853932584,0.24301453897506523,0.0,0.05905724241823914,0.05704490440659604,1.0352763850264322,0.07181392,40,44
joy,dia13_utt0_enhanced.wav,female,-0.12778453836276013,-0.05011987199772375,0.04188330443231862,0.09338097272189264,5,0.012195121951219513,2.168896198272705,2.787121295928955,0.0951219512195122,0.17073170731707318,12,0.02926829268292683,0.4521772383616091,0.9999979852825618,0.43434959349593494,0.2549479779849552,0.0,0.05450289781497809,0.04788528351924148,1.1381972457796452,0.05693409,13,14
joy,dia15_utt15_enhanced.wav,male,0.027216726481848887,-0.7928324736295096,0.07372434302614372,0.08420748016078101,3,0.013888888888888888,1.9018608331680298,2.0973377227783203,0.05555555555555555,0.06944444444444445,13,0.06018518518518518,0.49910743505908894,0.9985615343321115,0.4693732193732194,0.312034915397367,0.0,0.07799080963395223,0.06983479241639266,1.1167901691312978,0.09156202,12,10
joy,dia15_utt21_enhanced.wav,male,0.054457684105085793,0.117076661248157,0.06008716294707497,0.10369812562265894,7,0.017994858611825194,1.8933197259902954,2.2043631076812744,0.11825192802056556,0.07197943444730077,16,0.04113110539845758,0.5459541606542189,0.9928470463491976,0.5518958868894601,0.31375860897483604,0.0,0.057343508403368014,0.0509763568898456,1.1249040124087553,0.075491145,20,16
joy,dia15_utt22_enhanced.wav,male,-0.10682071922984664,-1.0880730809842436,0.04403226394179212,0.13231287221761046,2,0.00819672131147541,3.4456915855407715,3.5599594116210938,0.06147540983606557,0.11065573770491803,5,0.020491803278688523,0.5400381981075043,0.9996704450750258,0.39016393442622943,0.23191652113666988,0.0,0.08186441555855767,0.08520281817074175,0.9608181667712667,0.06488155,6,6
joy,dia16_utt0_enhanced.wav,male,0.2512832767135151,0.7800368591454745,0.0634152306216345,0.1258893623092971,2,0.01904761904761905,1.7753750085830688,1.9319065809249878,0.08571428571428572,0.4857142857142857,5,0.047619047619047616,0.5304256066679954,0.9865792766213417,0.6076190476190476,0.16312147859814585,0.0,0.07110458100125902,0.06712585951955546,1.0592725591922507,0.07913903,5,4
joy,dia16_utt1_enhanced.wav,male,-0.08570948258278173,-0.9966926650200939,0.05502099418926013,0.32908289366611004,3,0.013761467889908258,3.5404529571533203,4.415440082550049,0.05963302752293578,0.0045871559633027525,4,0.01834862385321101,0.6210878824203974,0.8828108608722687,0.4277522935779816,0.2778236864587179,0.0,0.1171178958316644,0.1120548885729578,1.0451832786876596,0.08404867,5,3
